ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
,แหลมสิงห์,3,22120/22130/22190,
จันทบุรี Total,,11,22000/22110/22120/22130/22140/22150/22160/22170/22180/22190/22210,
ฉะเชิงเทรา,คลองเขื่อน,2,24000/24110,
,ท่าตะเกียบ,1,24160,
,บางคล้า,1,24110,
,บางน้ำเปรี้ยว,3,24000/24150/24170,
,บางปะกง,2,24130/24180,
,บ้านโพธิ์,1,24140,
,แปลงยาว,1,24190,
,พนมสารคาม,1,24120,
,เมืองฉะเชิงเทรา,1,24000,
,ราชสาส์น,1,24120,
,สนามชัยเขต,1,24160,
ฉะเชิงเทรา Total,,10,24000/24110/24120/24130/24140/24150/24160/24170/24180/24190,
ชลบุรี,เกาะจันทร์,1,20240,
,เกาะสีชัง,1,20120,
,บ่อทอง,1,20270,
,บางละมุง,1,20150,
,บ้านบึง,2,20170/20220,
,พนัสนิคม,2,20140/20240,
,พานทอง,2,20000/20160,
,เมืองชลบุรี,3,20000/20130/20131,
,ศรีราชา,2,20110/20230,
,สัตหีบ,4,20180/20182/20250/20251,
,หนองใหญ่,1,20190,
ชลบุรี Total,,18,20000/20110/20120/20130/20131/20140/20150/20160/20170/20180/20182/20190/20220/20230/20240/20250/20251/20270,
ชัยนาท,เนินขาม,1,17130,
,มโนรมย์,2,17110/17170,
,เมืองชัยนาท,2,17000/17120,
,วัดสิงห์,1,17120,
,สรรคบุรี,1,17140,
,สรรพยา,1,17150,
,หนองมะโมง,1,17120,
,หันคา,2,17130/17160,
ชัยนาท Total,,8,17000/17110/17120/17130/17140/17150/17160/17170,
ชัยภูมิ,เกษตรสมบูรณ์,1,36120,
,แก้งคร้อ,1,36150,
,คอนสวรรค์,1,36140,
,คอนสาร,1,36180,
,จัตุรัส,2,36130/36220,
,ซับใหญ่,1,36130,
,เทพสถิต,1,36230,
,เนินสง่า,1,36130,
,บ้านเขว้า,1,36170,
,บ้านแท่น,1,36190,
,บำเหน็จณรงค์,2,36160/36220,
,ภักดีชุมพล,1,36260,
,ภูเขียว,1,36110,
,เมืองชัยภูมิ,2,36000/36240,
,หนองบัวแดง,1,36210,
,หนองบัวระเหว,1,36250,
ชัยภูมิ Total,,16,36000/36110/36120/36130/36140/36150/36160/36170/36180/36190/36210/36220/36230/36240/36250/36260,
ชุมพร,ท่าแซะ,2,86140/86190,
,ทุ่งตะโก,1,86220,
,ปะทิว,3,86160/86210/86230,
,พะโต๊ะ,1,86180,
,เมืองชุมพร,4,86000/86100/86120/86190,
,ละแม,1,86170,
,สวี,1,86130,
,หลังสวน,2,86110/86150,
ชุมพร Total,,14,86000/86100/86110/86120/86130/86140/86150/86160/86170/86180/86190/86210/86220/86230,
เชียงราย,ขุนตาล,1,57340,
,เชียงของ,1,57140,
,เชียงแสน,1,57150,
,ดอยหลวง,1,57110,
,เทิง,2,57160/57230,
,ป่าแดด,1,57190,
,พญาเม็งราย,1,57290,
,พาน,3,57120/57250/57280,
,เมืองเชียงราย,2,57000/57100,
,แม่จัน,3,57110/57240/57270,
,แม่ฟ้าหลวง,2,57110/57240,
,แม่ลาว,2,57000/57250,
,แม่สรวย,1,57180,
,แม่สาย,2,57130/57220,
,เวียงแก่น,1,57310,
,เวียงชัย,1,57210,
,เวียงเชียงรุ้ง,1,57210,
,เวียงป่าเป้า,2,57170/57260,
เชียงราย Total,,22,57000/57100/57110/57120/57130/57140/57150/57160/57170/57180/57190/57210/57220/57230/57240/57250/57260/57270/57280/57290/57310/57340,
เชียงใหม่,กัลยาณิวัฒนา,1,58130,
,จอมทอง,2,50160/50240,
,เชียงดาว,1,50170,
,ไชยปราการ,1,50320,
,ดอยเต่า,1,50260,
,ดอยสะเก็ด,1,50220,
